classes,typename,Attributes,Required,Typeclass
enzymeMLReferences,enzymeMLDOI,doi,n,primitive
enzymeMLReferences,enzymeMLPMID,pubmedID,n,primitive
enzymeMLReferences,enzymeMLURL,url,n,primitive
author,authorName,given_name,y,primitive
author,authorName,family_name,n,primitive
dataset,datasetContact,mail,y,primitive
enzymeMLVessel,enzymeMLVesselId,id,y,primitive
enzymeMLVessel,enzymeMLVesselName,name,y,primitive
enzymeMLVessel,enzymeMLVesselSize,size,y,primitive
enzymeMLVessel,enzymeMLVesselUnits,unit,y,controlledVocabulary
enzymeMLVessel,enzymeMLVesselConstant,constant,y,controlledVocabulary
enzymeMLReactant,enzymeMLReactantId,id,y,primitive
enzymeMLReactant,enzymeMLReactantName,name,y,primitive
enzymeMLReactant,enzymeMLReactantVessel,compartment,y,primitive
enzymeMLReactant,enzymeMLReactantInitialConcentration,init_conc,y,primitive
enzymeMLReactant,enzymeMLReactantSubstanceUnits,substanceunits,y,controlledVocabulary
enzymeMLReactant,enzymeMLReactantConstant,constant,y,controlledVocabulary
enzymeMLReactant,enzymeMLReactantInchi,inchi,n,primitive
enzymeMLReactant,enzymeMLReactantSmiles,smiles,n,primitive
enzymeMLProtein,enzymeMLProteinId,id,y,primitive
enzymeMLProtein,enzymeMLProteinName,name,y,primitive
enzymeMLProtein,enzymeMLProteinVessel,compartment,y,primitive
enzymeMLProtein,enzymeMLProteinInitialConcentration,init_conc,y,primitive
enzymeMLProtein,enzymeMLProtenSubstanceUnits,substanceunits,y,controlledVocabulary
enzymeMLProtein,enzymeMLProteinConstant,constant,y,controlledVocabulary
enzymeMLProtein,enzymeMLProteinSequence,sequence,y,primitive
enzymeMLProtein,enzymeMLProteinOrganism,organism,n,primitive
enzymeMLProtein,enzymeMLProteinUniProtID,uniprotID,n,primitive
enzymeMLProtein,enzymeMLProteinECNumber,ecnumber,n,primitive
enzymeMLReaction,enzymeMLReactionName,name,y,primitive
enzymeMLReaction,enzymeMLReactionTemperatureValue,temperature,y,primitive
enzymeMLReaction,enzymeMLReactionTemperatureUnit,tempunit,y,controlledVocabulary
enzymeMLReaction,enzymeMLReactionpH,ph,y,primitive
enzymeMLReaction,enzymeMLReactionEduct,,,primitive
enzymeMLReaction,enzymeMLReactionProduct,,,primitive
enzymeMLReaction,enzymeMLReactionModifier,,,primitive
enzymeMLKineticLaw,enzymeMLKineticLawReaction,,,primitive
enzymeMLKineticLaw,enzymeMLKineticLawEquation,equation,y,primitive
enzymeMLKineticLaw,enzymeMLKineticLawParameterName,,,primitive
enzymeMLKineticLaw,enzymeMLKineticLawParameterValue,,,primitive
enzymeMLKineticLaw,enzymeMLKineticLawParameterUnit,,,primitive
